iter	Passed	Remaining
0	1	128
1	2	109
2	3	105
3	4	97
4	5	101
5	6	100
6	7	101
7	8	101
8	9	100
9	10	98
10	11	96
11	13	95
12	14	94
13	15	93
14	16	92
15	17	90
16	18	90
17	19	89
18	20	88
19	21	86
20	22	85
21	23	83
22	24	82
23	25	81
24	26	80
25	27	79
26	29	78
27	30	77
28	31	76
29	32	75
30	33	75
31	34	74
32	35	73
33	37	72
34	38	70
35	39	69
36	40	68
37	41	67
38	42	66
39	43	65
40	44	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	50	57
47	51	56
48	53	55
49	54	54
50	55	53
51	56	52
52	58	51
53	59	50
54	60	49
55	61	48
56	63	47
57	64	46
58	65	45
59	67	44
60	68	43
61	69	42
62	70	41
63	71	40
64	72	39
65	73	38
66	75	37
67	76	36
68	77	34
69	78	33
70	79	32
71	81	31
72	82	30
73	83	29
74	84	28
75	85	27
76	86	25
77	88	24
78	89	23
79	90	22
80	91	21
81	92	20
82	93	19
83	94	18
84	96	16
85	97	15
86	98	14
87	99	13
88	100	12
89	101	11
90	102	10
91	103	9
92	104	7
93	106	6
94	107	5
95	108	4
96	109	3
97	111	2
98	112	1
99	113	0
